"","Sample.ID","Culture","Salinity","Temperature","Treatment.ID","Replicate","Day","Date","Week","Continuation","DunaAlive","DunaDead","Fluorescenc","Absorbance"
"144","S11_36_2M_1","11","2",36,"S11_36_2M","1",1,NA,"01",0,58748.6425594274,143.359303463708,NA,NA
"145","S11_36_3.5M_1","11","3,5",36,"S11_36_3.5M","1",1,NA,"01",0,54504.9276571257,716.792841361463,NA,NA
"146","S11_36_4M_1","11","4",36,"S11_36_4M","1",1,NA,"01",0,53033.4390820928,1167.7610109376,NA,NA
"147","S13_36_2M_1","13","2",36,"S13_36_2M","1",1,NA,"01",0,53147.2767348593,113.927710042571,NA,NA
"148","S13_36_3.5M_1","13","3,5",36,"S13_36_3.5M","1",1,NA,"01",0,47222.1778499375,200.701423770226,NA,NA
"149","S13_36_4M_1","13","4",36,"S13_36_4M","1",1,NA,"01",0,50977.9292553752,544.75852410131,NA,NA
"150","Mix_36_2M_1","mix","2",36,"Mix_36_2M","1",1,NA,"01",0,64052.2798239053,143.357833088418,NA,NA
"151","Mix_36_3.5M_1","mix","3,5",36,"Mix_36_3.5M","1",1,NA,"01",0,59522.0366333852,315.38651395339,NA,NA
"152","Mix_36_4M_1","mix","4",36,"Mix_36_4M","1",1,NA,"01",0,49301.797918461,484.188656622668,NA,NA
"153","S1C_36_2M_2","1C","2",36,"S1C_36_2M","2",1,NA,"01",0,31653.9506477292,172.032340476789,NA,NA
"154","S1C_36_3.5M_2","1C","3,5",36,"S1C_36_3.5M","2",1,NA,"01",0,60583.0202631655,516.088199118306,NA,NA
"155","S1C_36_4M_2","1C","4",36,"S1C_36_4M","2",1,NA,"01",0,56397.3571660912,1204.21403201618,NA,NA
"156","S3_36_2M_2","3","2",36,"S3_36_2M","2",1,NA,"01",0,73714.2197463937,86.0142587472505,NA,NA
"157","S3_36_3.5M_2","3","3,5",36,"S3_36_3.5M","2",1,NA,"01",0,49802.0855492744,86.0139646792304,NA,NA
"158","S3_36_4M_2","3","4",36,"S3_36_4M","2",1,NA,"01",0,47221.7204232225,86.0140627016804,NA,NA
"159","S11_36_2M_2","11","2",36,"S11_36_2M","2",1,NA,"01",0,62246.5740948788,28.67184435508,NA,NA
"160","S11_36_3.5M_2","11","3,5",36,"S11_36_3.5M","2",1,NA,"01",0,52239.5943774196,1003.50483161893,NA,NA
"161","S11_36_4M_2","11","4",36,"S11_36_4M","2",1,NA,"01",0,51580.559820631,1060.85642766167,NA,NA
"162","S13_36_2M_2","13","2",36,"S13_36_2M","2",1,NA,"01",0,54132.5346790112,286.718933681203,NA,NA
"163","S13_36_3.5M_2","13","3,5",36,"S13_36_3.5M","2",1,NA,"01",0,55596.2504545557,142.408428418432,NA,NA
"164","S13_36_4M_2","13","4",36,"S13_36_4M","2",1,NA,"01",0,51265.1116486889,372.732914671675,NA,NA
"165","Mix_36_2M_2","mix","2",36,"Mix_36_2M","2",1,NA,"01",0,54542.9529299578,113.927839018189,NA,NA
"166","Mix_36_3.5M_2","mix","3,5",36,"Mix_36_3.5M","2",1,NA,"01",0,63001.7740225051,199.372702602864,NA,NA
"167","Mix_36_4M_2","mix","4",36,"Mix_36_4M","2",1,NA,"01",0,56194.5567027748,569.635648279522,NA,NA
"168","S1C_36_2M_3","1C","2",36,"S1C_36_2M","3",1,NA,"01",0,37339.6167447227,113.927129655904,NA,NA
"169","S1C_36_3.5M_3","1C","3,5",36,"S1C_36_3.5M","3",1,NA,"01",0,54001.3983232171,313.299251875205,NA,NA
"170","S1C_36_4M_3","1C","4",36,"S1C_36_4M","3",1,NA,"01",0,52064.6982527483,1139.27129655904,NA,NA
"171","S3_36_2M_3","3","2",36,"S3_36_2M","3",1,NA,"01",0,69010.8900356719,0,NA,NA
"172","S3_36_3.5M_3","3","3,5",36,"S3_36_3.5M","3",1,NA,"01",0,53231.8487067916,113.925839928928,NA,NA
"173","S3_36_4M_3","3","4",36,"S3_36_4M","3",1,NA,"01",0,42408.941923141,85.4444766752337,NA,NA
"174","S11_36_2M_3","11","2",36,"S11_36_2M","3",1,NA,"01",0,69938.2583598655,110.110089257201,NA,NA
"175","S11_36_3.5M_3","11","3,5",36,"S11_36_3.5M","3",1,NA,"01",0,62909.3874784917,470.76119340353,NA,NA
"176","S11_36_4M_3","11","4",36,"S11_36_4M","3",1,NA,"01",0,48044.1590070718,822.495113436283,NA,NA
"177","S13_36_2M_3","13","2",36,"S13_36_2M","3",1,NA,"01",0,65907.4775986171,191.591504647143,NA,NA
"178","S13_36_3.5M_3","13","3,5",36,"S13_36_3.5M","3",1,NA,"01",0,60649.2121959892,259.670161930914,NA,NA
"179","S13_36_4M_3","13","4",36,"S13_36_4M","3",1,NA,"01",0,62259.9675033855,422.873342499483,NA,NA
"180","Mix_36_2M_3","mix","2",36,"Mix_36_2M","3",1,NA,"01",0,63732.7430692794,56.1851981216098,NA,NA
"181","Mix_36_3.5M_3","mix","3,5",36,"Mix_36_3.5M","3",1,NA,"01",0,63155.640252587,268.461807662431,NA,NA
"182","Mix_36_4M_3","mix","4",36,"Mix_36_4M","3",1,NA,"01",0,56164.096074507,453.851281410157,NA,NA
"183","Blank_36_2M","blank","2",36,"Blank_36_2M","blank",1,NA,"01",0,8.10006996277692,0,NA,NA
"184","Blank_36_3.5M","blank","3,5",36,"Blank_36_3.5M","blank",1,NA,"01",0,8.09922770838952,0,NA,NA
"185","Blank_36_4M","blank","4",36,"Blank_36_4M","blank",1,NA,"01",0,40.4962037252421,0,NA,NA
"186","S1C_24_2M","1C","2",24,"pooled","pooled",1,NA,"01",0,45494.6275779136,218.358977620296,NA,NA
"187","S1C_24_4M","1C","4",24,"pooled","pooled",1,NA,"01",0,52092.9960018318,702.548547822154,NA,NA
"188","S3_24_2M","3","2",24,"pooled","pooled",1,NA,"01",0,79710.1556715724,75.9505384574247,NA,NA
"189","S3_24_4M","3","4",24,"pooled","pooled",1,NA,"01",0,50022.9389836979,170.88879213653,NA,NA
"190","S11_24_2M","11","2",24,"pooled","pooled",1,NA,"01",0,67226.4868613312,104.432965732492,NA,NA
"191","S11_24_4M","11","4",24,"pooled","pooled",1,NA,"01",0,41307.7599339563,237.346413402062,NA,NA
"192","S13_24_2M","13","2",24,"pooled","pooled",1,NA,"01",0,52026.7800493565,132.915086703416,NA,NA
"193","S13_24_4M","13","4",24,"pooled","pooled",1,NA,"01",0,52330.5049639817,351.275380928891,NA,NA
"194","Mix_24_2M","mix","2",24,"pooled","pooled",1,NA,"01",0,62242.2151947288,37.9758173642164,NA,NA
"195","Mix_24_4M","mix","4",24,"pooled","pooled",1,NA,"01",0,49643.9083215417,209.244472800919,NA,NA
"196","S1C_36_2M","1C","2",36,"pooled","pooled",1,NA,"01",0,40229.6244359637,143.106203406626,NA,NA
"197","S1C_36_3.5M","1C","3,5",36,"pooled","pooled",1,NA,"01",0,58445.3534917979,428.36532320571,NA,NA
"198","S1C_36_4M","1C","4",36,"pooled","pooled",1,NA,"01",0,53319.0199090183,1113.44886151393,NA,NA
"199","S3_36_2M","3","2",36,"pooled","pooled",1,NA,"01",0,70531.3519429929,47.7857537614102,NA,NA
"200","S3_36_3.5M","3","3,5",36,"pooled","pooled",1,NA,"01",0,52235.5188223847,76.2036923856055,NA,NA
"201","S3_36_4M","3","4",36,"pooled","pooled",1,NA,"01",0,45741.7034582089,85.8242006928648,NA,NA
"202","S11_36_2M","11","2",36,"pooled","pooled",1,NA,"01",0,63644.4916713906,94.0470790253297,NA,NA
"203","S11_36_3.5M","11","3,5",36,"pooled","pooled",1,NA,"01",0,56551.3031710123,730.352955461308,NA,NA
"204","S11_36_4M","11","4",36,"pooled","pooled",1,NA,"01",0,50886.0526365985,1017.03751734518,NA,NA
"205","S13_36_2M","13","2",36,"pooled","pooled",1,NA,"01",0,57729.0963374959,197.412716123639,NA,NA
"206","S13_36_3.5M","13","3,5",36,"pooled","pooled",1,NA,"01",0,54489.2135001608,200.926671373191,NA,NA
"207","S13_36_4M","13","4",36,"pooled","pooled",1,NA,"01",0,54834.3361358165,446.788260424156,NA,NA
"208","Mix_36_2M","mix","2",36,"pooled","pooled",1,NA,"01",0,60775.9919410475,104.490290076072,NA,NA
"209","Mix_36_3.5M","mix","3,5",36,"pooled","pooled",1,NA,"01",0,61893.1503028258,261.073674739562,NA,NA
"210","Mix_36_4M","mix","4",36,"pooled","pooled",1,NA,"01",0,53886.8168985809,502.558528770782,NA,NA
"211","S1C_24_2M_1","1C","2",24,"S1C_24_2M","1",2,NA,"01",0,77412.9149587677,56.963145665024,NA,NA
"212","S1C_24_4M_1","1C","4",24,"S1C_24_4M","1",2,NA,"01",0,61491.7157453934,797.484039310337,NA,NA
"213","S3_24_2M_1","3","2",24,"S3_24_2M","1",2,NA,"01",0,157502.830308022,85.4445734039904,NA,NA
"214","S3_24_4M_1","3","4",24,"S3_24_4M","1",2,NA,"01",0,51636.8577196964,142.407219304182,NA,NA
"215","S11_24_2M_1","11","2",24,"S11_24_2M","1",2,NA,"01",0,114696.137781082,0,NA,NA
"216","S11_24_4M_1","11","4",24,"S11_24_4M","1",2,NA,"01",0,41469.2169900931,427.224076134201,NA,NA
"217","S13_24_2M_1","13","2",24,"S13_24_2M","1",2,NA,"01",0,94930.103190028,370.264428883998,NA,NA
"218","S13_24_4M_1","13","4",24,"S13_24_4M","1",2,NA,"01",0,51067.7491494071,256.335606438742,NA,NA
"219","Mix_24_2M_1","mix","2",24,"Mix_24_2M","1",2,NA,"01",0,126089.493089615,113.927710042571,NA,NA
"220","Mix_24_4M_1","mix","4",24,"Mix_24_4M","1",2,NA,"01",0,53118.1333326349,256.334155492608,NA,NA
"221","S1C_24_2M_2","1C","2",24,"S1C_24_2M","2",2,NA,"01",0,72828.2061972364,113.927581067245,NA,NA
"222","S1C_24_4M_2","1C","4",24,"S1C_24_4M","2",2,NA,"01",0,56621.6872889132,626.59814907248,NA,NA
